country,cabr,year,cut,subcut,indicator,value,se,N,method
Viet Nam2023,VNM,2023.0,All,All,gend8,57.61538315,7.3996964,117.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend9,33.44142532,8.233907,44.0,Global
Viet Nam2023,VNM,2023.0,All,All,graft2,27.44361305,5.3879523,400.0,Global
Viet Nam2023,VNM,2023.0,All,All,graft3,31.07424545,5.692423,400.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in1_median,5,1.9202669,71.0,Global
Viet Nam2023,VNM,2023.0,All,All,in11,8.359406471,1.7077721,1024.0,Global
Viet Nam2023,VNM,2023.0,All,All,in12,19.44068909,2.2145803,1022.0,Global
Viet Nam2023,VNM,2023.0,All,All,in16,43.01397705,2.8421686,1027.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in18,1.511833668,0.825536,1027.0,Global
Viet Nam2023,VNM,2023.0,All,All,in19,1.571922421,,16.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in2,.6526293159,0.065220125,990.0,Global
Viet Nam2023,VNM,2023.0,All,All,in20,7.578557014,,10.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in21,28.50392342,2.48384,1005.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in22_median,1,0.111446366,151.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in23,80.6184845,1.4760907,1024.0,Global
Viet Nam2023,VNM,2023.0,All,All,in24,3.577729464,0.80961734,1024.0,Global
Viet Nam2023,VNM,2023.0,All,All,in25,12.38266754,1.9454049,1014.0,Global
Viet Nam2023,VNM,2023.0,All,All,in26,17.54939842,2.2683566,997.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in3_median,0,0.19002567,985.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in4_median,0,0.07392935,927.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in5_median,7,0.70369816,46.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in9,16.69059753,1.7956252,1023.0,Global
Viet Nam2023,VNM,2023.0,All,All,infor1,37.13908768,3.0252159,883.0,Global
Viet Nam2023,VNM,2023.0,All,All,infor2,15.53955078,2.0626242,952.0,Global
Viet Nam2023,VNM,2023.0,All,All,infor4,97.03192139,0.85251635,1028.0,Global
Viet Nam2023,VNM,2023.0,All,All,infor5,.1759506762,0.055001933,1028.0,Global
Viet Nam2023,VNM,2023.0,All,All,lform3,82.92108917,2.1033697,1028.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt1,48.57905197,1.957071,257.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt2,69.08366394,2.9959915,359.0,Global
